Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2, BT3, BT4, rBT1, rBT2, rBT3, rBT4",Breakaway_Tabs,8,Breakaway Tabs,
"C1, C13, C14, C24, C25, C26, C35, C36, C41, C46, C51, C52",0402,12,4.7uF,C23733
"C10, C2, C3, C32, C4, C42, C44, C45",0402,8,100nF,C307331
"C11, C33",0402,2,100pF,C1546
"C12, C34",0402,2,1nF,C1523
"C15, C23, C37, C47, C49, C8",0402,6,1uF,C52923
"C16, C38",0402,2,47nF,C312032
"C17, C18, C29, C30, C39, C40, C6, C7",0402,8,15pF,C1548
"C19, C43",0402,2,100nF,C1525
"C20, C50",0402,2,4.7uF, 
"C21, C48",0603,2,10uF,C19702
"C22, C27",0402,2,1.5pF,C1552
"C28, C31, C5, C9",0402,4,1pF,C1550
"D1, rD1",D_SOD-523,2,1N4148WT,
"D2, D4",0402,2,BLUE,C364550
"D3, D7",0402,2,ORANGE,C364554
"D5, D6",D_SOD-323F,2,PMEG4010CEJ,C50704
"J1, J7",USB-C_C168688,2,USB_C_Receptacle_USB2.0,C168688
"J11, J3",PinHeader_1x05_P2.54mm_Vertical,2,Screw_Terminal_01x05,
"J12, J13",CONN-SMD_SM02B-PASS-TLFSN,2,Conn_01x02_Shielded,
"J2, rJ2",PJ-398A-5A_PJ-399B-6A,2,TRS,
"J6, J8",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
"L1, L5",0402,2,3.9nH,C14033
"L2, L6",0402,2,15nH,C27143
"L3, L4, L7, L8",0603,4,10uH,C1035
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED3, LED4, LED5, LED6, LED7, LED8, LED9, rLED1, rLED10, rLED11, rLED12, rLED13, rLED14, rLED15, rLED16, rLED17, rLED18, rLED19, rLED2, rLED20, rLED21, rLED3, rLED4, rLED5, rLED6, rLED7, rLED8, rLED9",YS-SK6812MINI-E_crone,42,YS-SK6812MINI-E,C5149201
"NT1, NT2",net-tie-2-tiny,2,NetTie_2,
"R1, R13",0402,2,3.9k,C131467
"R10, R16, R17, R9",0402,4,5.1k,C105872
"R11, R3",0402,2,0R,C17168
"R12, R15, R18, R6, R7, R8",0402,6,10k,C25744
"R14, R2",0402,2,2M,C138014
"R4, R5",0402,2,1.5k,C114759
"SW1, rSW1",keyswitch_cherrymx_hotswap_1.5u,2,SW_Push,C2803348
"SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW3, SW4, SW5, SW6, SW7, SW8, SW9, rSW10, rSW11, rSW12, rSW13, rSW14, rSW15, rSW16, rSW17, rSW18, rSW19, rSW2, rSW20, rSW21, rSW3, rSW4, rSW5, rSW6, rSW7, rSW8, rSW9",keyswitch_cherrymx_hotswap_1u,40,SW_Push,C2803348
"SW22, SW23",SW-SMD-TS-1088-AR02016,2,SW_SPST,
"U1, U4",AQFN-73-1EP_7x7mm_P0.5mm_NRF52840-custom,2, NRF52840-QIAA-R7,C190794
"U10, U6",TDFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.2mm,2,MAX17048,C2682616
"U2, U7",VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,2,BQ24075RGT,C2865459
"U3, U8",TSOT-23-5,2,XC6220B331MR,C86534
"U5, U9",UDFN-6_1.2x1.0mm_P0.4mm,2,ESDR0502NMUTAG,C94372
"Y1, Y3",Crystal_SMD_2016-4Pin_2.0x1.6mm,2,32MHz,C255896
"Y2, Y4",Crystal_SMD_2012-2Pin_2.0x1.2mm,2,32.768 kHz,C97607
rJP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_2_Bridged,
