Designator,Mid X,Mid Y,Rotation,Layer
AE1,-154.598098,81.925147,0.0,bottom
AE2,-180.456098,81.350147,0.0,bottom
C1,-158.043998,95.96375,270.0,bottom
C10,-157.093998,95.96375,90.0,bottom
C11,-157.718998,87.06375,0.0,bottom
C12,-154.143998,86.43875,270.0,bottom
C13,-151.443998,95.93875,90.0,bottom
C14,-150.093998,95.11375,90.0,bottom
C15,-158.868998,93.81375,270.0,bottom
C16,-159.793998,93.81375,270.0,bottom
C17,-157.993998,97.83875,270.0,bottom
C18,-154.693998,97.83875,270.0,bottom
C19,-149.668998,87.51375,180.0,bottom
C2,-149.893998,88.68875,0.0,bottom
C20,-149.643998,98.43875,90.0,bottom
C21,-151.468998,98.68875,0.0,bottom
C22,-159.168998,84.18875,0.0,bottom
C23,-156.643998,98.81375,0.0,bottom
C24,-154.768998,102.08875,270.0,bottom
C25,-153.768998,97.83875,90.0,bottom
C26,-160.193998,101.58875,180.0,bottom
C27,-185.501998,84.74375,270.0,bottom
C28,-182.117298,85.52375,270.0,bottom
C29,-184.597298,86.31375,180.0,bottom
C3,-159.118998,90.26375,270.0,bottom
C30,-184.752298,90.23875,90.0,bottom
C31,-180.377298,87.03875,180.0,bottom
C32,-181.627298,95.93875,90.0,bottom
C33,-182.252298,87.03875,0.0,bottom
C34,-178.677298,86.41375,270.0,bottom
C35,-175.977298,95.91375,90.0,bottom
C36,-174.627298,95.08875,90.0,bottom
C37,-183.402298,93.78875,270.0,bottom
C38,-184.327298,93.78875,270.0,bottom
C39,-182.527298,97.81375,270.0,bottom
C4,-149.893998,91.18875,0.0,bottom
C40,-179.227298,97.81375,270.0,bottom
C41,-178.302298,97.81375,90.0,bottom
C42,-183.652298,90.23875,270.0,bottom
C43,-172.201998,85.56375,90.0,bottom
C44,-174.751998,88.23875,90.0,bottom
C45,-174.427298,91.16375,0.0,bottom
C46,-182.577298,95.93875,270.0,bottom
C47,-178.027298,95.48875,180.0,bottom
C48,-176.002298,98.66375,0.0,bottom
C49,-181.177298,98.78875,0.0,bottom
C5,-157.583998,85.54875,270.0,bottom
C50,-174.177298,98.41375,90.0,bottom
C51,-179.302298,102.06375,270.0,bottom
C52,-184.727298,101.56375,180.0,bottom
C6,-160.063998,86.33875,180.0,bottom
C7,-160.218998,90.26375,90.0,bottom
C8,-153.493998,95.51375,180.0,bottom
C9,-155.843998,87.06375,180.0,bottom
D1,-195.251998,99.88875,270.0,bottom
D2,-148.951998,103.86375,180.0,bottom
D3,-160.093998,103.33875,270.0,bottom
D4,-185.651998,103.31375,270.0,bottom
D5,-153.676998,100.51375,90.0,bottom
D6,-177.926998,100.38875,90.0,bottom
D7,-184.676998,103.31375,270.0,bottom
J1,-154.593998,112.78875,0.0,bottom
J10,-174.827298,105.11375,0.0,bottom
J11,-179.127298,72.63875,270.0,top
J12,-247.535498,60.28875,90.0,bottom
J13,-89.718498,58.23875,270.0,bottom
J2,-171.132,60.50375,90.0,bottom
J3,-154.593998,72.63875,270.0,top
J4,-158.893998,105.43875,0.0,bottom
J5,-150.293998,105.43875,0.0,bottom
J6,-143.776998,78.21375,180.0,top
J7,-179.127298,112.76375,0.0,bottom
J8,-189.626998,78.21375,180.0,top
J9,-183.427298,105.11375,0.0,bottom
L1,-155.973998,85.69875,135.0,bottom
L2,-160.476998,96.81375,90.0,bottom
L3,-159.168998,96.43875,270.0,bottom
L4,-151.468998,97.41375,0.0,bottom
L5,-180.507298,85.67375,135.0,bottom
